iteration: 100/100000, 	val loss: 0.031710497103631496, 	train loss: 0.03368861401453614, 	best loss: 0.031710497103631496
iteration: 200/100000, 	val loss: 0.03157129753381014, 	train loss: 0.030054821018129587, 	best loss: 0.03157129753381014
iteration: 300/100000, 	val loss: 0.030353508517146112, 	train loss: 0.029429680798202754, 	best loss: 0.030353508517146112
iteration: 400/100000, 	val loss: 0.029084231331944467, 	train loss: 0.0289468527212739, 	best loss: 0.029084231331944467
iteration: 500/100000, 	val loss: 0.030448815040290355, 	train loss: 0.028220553901046514, 	best loss: 0.029084231331944467
iteration: 500/100000, 	val loss: 0.029377113971859218, 	train loss: 0.0, 	best loss: 0.029084231331944467
iteration: 1000/100000, 	val loss: 0.02838810421526432, 	train loss: 0.0281756449714303, 	best loss: 0.02838810421526432
iteration: 1000/100000, 	val loss: 0.02844810353592038, 	train loss: 0.0, 	best loss: 0.02844810353592038
iteration: 1500/100000, 	val loss: 0.027564231809228658, 	train loss: 0.027427042674273254, 	best loss: 0.027564231809228658
iteration: 2000/100000, 	val loss: 0.026792007088661193, 	train loss: 0.02683032815530896, 	best loss: 0.026792007088661193
iteration: 2500/100000, 	val loss: 0.025798141248524187, 	train loss: 0.026272524997591973, 	best loss: 0.025798141248524187
iteration: 3000/100000, 	val loss: 0.026318861991167068, 	train loss: 0.02578714859858155, 	best loss: 0.025798141248524187
iteration: 3500/100000, 	val loss: 0.026556868255138397, 	train loss: 0.0252203893661499, 	best loss: 0.025798141248524187
iteration: 4000/100000, 	val loss: 0.024475061297416688, 	train loss: 0.024770198058336974, 	best loss: 0.024475061297416688
iteration: 4500/100000, 	val loss: 0.024336185287684203, 	train loss: 0.024439930226653816, 	best loss: 0.024336185287684203
iteration: 5000/100000, 	val loss: 0.023932404275983574, 	train loss: 0.024176987562328577, 	best loss: 0.023932404275983574
iteration: 5500/100000, 	val loss: 0.023964754045009612, 	train loss: 0.023725711841136216, 	best loss: 0.023932404275983574
iteration: 5500/100000, 	val loss: 0.023697927929461002, 	train loss: 0.0, 	best loss: 0.023697927929461002
iteration: 6000/100000, 	val loss: 0.023346711564809084, 	train loss: 0.023320204824209212, 	best loss: 0.023346711564809084
iteration: 6500/100000, 	val loss: 0.023800934385508298, 	train loss: 0.023402683295309545, 	best loss: 0.023346711564809084
iteration: 7000/100000, 	val loss: 0.023344969972968102, 	train loss: 0.022832581162452698, 	best loss: 0.023344969972968102
iteration: 7500/100000, 	val loss: 0.023399285767227412, 	train loss: 0.022796243093907834, 	best loss: 0.023344969972968102
